2024-08-18 17:14:05 [RMI TCP Connection(10)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin --> Application shutdown requested.
2024-08-18 17:14:30 [restartedMain] INFO  c.s.s.SpringbootApplication --> Starting SpringbootApplication using Java 17 with PID 4340 (C:\Users\arbaz\Downloads\springboot\springboot\target\classes started by arbaz in C:\Users\arbaz\Downloads\springboot\springboot)
2024-08-18 17:14:30 [restartedMain] INFO  c.s.s.SpringbootApplication --> The following 1 profile is active: "dev"
2024-08-18 17:14:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor --> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-08-18 17:14:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor --> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-08-18 17:14:34 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate --> Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-08-18 17:14:35 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate --> Finished Spring Data repository scanning in 361 ms. Found 2 MongoDB repository interfaces.
2024-08-18 17:14:38 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer --> Tomcat initialized with port 8080 (http)
2024-08-18 17:14:39 [restartedMain] INFO  o.a.c.core.StandardService --> Starting service [Tomcat]
2024-08-18 17:14:39 [restartedMain] INFO  o.a.c.core.StandardEngine --> Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-18 17:14:40 [restartedMain] INFO  o.a.jasper.servlet.TldScanner --> At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2024-08-18 17:14:40 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/] --> Initializing Spring embedded WebApplicationContext
2024-08-18 17:14:40 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext --> Root WebApplicationContext: initialization completed in 9707 ms
